term,rel_poisson,rel_nb2,rel_ratio_nb_over_pois,se_poisson,se_quasi,se_nb2,z_poisson,z_quasi,z_nb2,p_poisson,p_quasi,p_nb2,sig_poisson_5pct,sig_quasi_5pct,sig_nb2_5pct
Intercept,0.199177223861754,0.21033013200867726,1.0559948970604407,0.12155390614997871,0.18483816748297743,0.12614909350141085,-13.274442011112761,-8.729583832087792,-12.359002210756534,0.0,0.0,0.0,True,True,True
C(Area)[T.B],1.0238913486883812,1.0252661406116501,1.0013427127058259,0.028459751049339226,0.04327666956659564,0.029280235113504333,0.8296072636183282,0.5455691583422017,0.8521867453522359,0.4067608686611204,0.5853621295007014,0.394110452088722,False,False,False
C(Area)[T.C],1.0180280437812657,1.02071561472406,1.0026399773161572,0.03700177997156125,0.056265910493349586,0.038101475463216954,0.4828812473712106,0.3175540129175451,0.538140954263865,0.6291800575973254,0.7508232620932151,0.590479740301044,False,False,False
C(Area)[T.D],1.0664672336324386,1.0716667076355615,1.0048754184274495,0.056001344018589354,0.08515716304672344,0.057704017355327125,1.1491069779653504,0.755679650247287,1.1994850692006838,0.25051187140798903,0.44984128783499355,0.2303393869953081,False,False,False
C(Area)[T.E],1.073377993228416,1.0818173985719004,1.0078624728629857,0.07460878170470933,0.11345213761720302,0.07688340478906693,0.9490930826448141,0.6241458301950883,1.0228787802184665,0.3425732722610595,0.532531818079452,0.3063651636268645,False,False,False
C(Area)[T.F],1.055508853614113,1.0650248802352036,1.0090155819996274,0.10279060565799122,0.15630618370129437,0.10599288391834177,0.5255633625382689,0.34562277107474226,0.594362171145736,0.5991916180877346,0.7296262306121639,0.5522699042283543,False,False,False
C(VehPowerBand)[T.5],1.1854177034066806,1.186226158426862,1.0006820001235497,0.020391877556466265,0.031008442249678705,0.021036664933520525,8.341321407583939,5.485448234805958,8.11806305844661,0.0,4.124223162982332e-08,4.440892098500626e-16,True,True,True
C(VehPowerBand)[T.6],1.2283705779399567,1.2325476835624902,1.0034005256211351,0.02029022604339702,0.030853868201071756,0.020907421748621206,10.13732214354226,6.666540364623117,10.000435117685054,0.0,2.6190383195512368e-11,0.0,True,True,True
C(VehPowerBand)[T.7],1.1231867460730316,1.1251524056199456,1.0017500736665443,0.02007499006282132,0.03052657452959626,0.020664286365667875,5.786800078485652,3.8055352053504556,5.706391019581151,7.173987404129889e-09,0.00014149788495587678,1.1539673216987012e-08,True,True,True
C(VehPowerBand)[T.8-9],1.0817417900344084,1.0785387531836421,0.9970390005449782,0.02417569316690804,0.03676221492288756,0.024885938182512356,3.2500623675788574,2.1373170995467734,3.038146206532073,0.0011537970168009615,0.032572208988215445,0.0023803843331398067,True,True,True
