power,fold,mean_deviance,train_mean_deviance,gini,train_gini,loss_ratio,mse,n_iter,dispersion
1.1,0,373.4107214183777,467.373367609802,-0.3080687470504193,-0.40859786595014047,0.7505600525886138,2473078.8943161964,30,82752.3753239794
1.1,1,426.22012770295726,454.31591003080206,-0.2475392530092664,-0.423152851547409,0.8417447578659216,3422113.0519563262,30,63511.82254188121
1.1,2,855.0706245065419,379.6468089936874,-0.36377886252823044,-0.3320793691419,1.735846693102885,189598423.20254067,8,61839.877363756765
1.1,3,445.55368769096526,451.4847512366535,-0.2972831194613586,-0.403787875763129,0.8833753968264865,7839204.940230142,31,77547.96449589333
1.1,4,380.107366450229,465.79417636695206,-0.25883910079562794,-0.4189613873040347,0.7438631906557309,3252950.626209872,30,78733.31010846117
1.2,0,219.76575292214378,258.5271215856178,-0.3136934327518998,-0.41333482027422674,0.7199181381086208,2473681.064037234,32,55270.60157994155
1.2,1,248.57471051767445,251.52074604199953,-0.2508323786196648,-0.4282061436961135,0.8107170294681524,3421040.990105271,33,42649.6584856708
1.2,2,431.7122030272289,222.84929867220657,-0.3788678897643699,-0.33166062664462126,1.6677449160407736,189597171.2956763,9,43424.18916681239
1.2,3,254.20128603526882,251.12546745424808,-0.3096782305967592,-0.40798285443248605,0.8485978730001434,7837770.124287792,33,53005.8509103258
1.2,4,223.0193138916922,257.81746496460835,-0.26538830632986377,-0.4226981744305405,0.7143720088280601,3251428.548645994,32,53151.38487622449
1.3,0,135.3202934097207,152.21782852320928,-0.31690548413428543,-0.41620657681116396,0.6856695977421539,2478872.4138610605,35,36471.35594961766
1.3,1,151.78678260067258,148.3217598089722,-0.25299022321841946,-0.43126951083874854,0.7757813088824829,3425007.580073004,35,29008.242073940677
1.3,2,233.65110563074586,136.81764624171083,-0.3947462682613209,-0.3307529422454358,1.5908412024051286,189595852.2549311,9,29740.8306346804
1.3,3,152.52223877352478,148.62608409408188,-0.3174047683424882,-0.41046441634039416,0.8094757872027629,7841442.958749477,36,35858.16005099608
1.3,4,136.94795480050163,151.9011341032628,-0.2700909068147449,-0.42470323237953517,0.6809393804057715,3254770.3771426086,35,35545.740360582895
1.4,0,87.18865275588654,94.84732538945707,-0.31854628319178596,-0.4176633417621096,0.6470934598917168,2488031.220864337,37,23710.584674105972
1.4,1,96.92721814738803,92.63750934350105,-0.25473864316831957,-0.4328564922785293,0.7359250877532846,3432931.7683159616,38,19805.655272937278
1.4,2,134.73807154436548,87.81856062719984,-0.4103028330069139,-0.3293472050027425,1.5043524200185765,189594469.07889047,10,19899.059598694075
1.4,3,96.06050800111058,93.05744888091296,-0.3216371264744129,-0.41163652882973534,0.7649832047547589,7849051.470455913,38,23908.778594765467
1.4,4,87.98583443153774,94.7170166915691,-0.2733477670948509,-0.4255180447048502,0.6428919087201684,3262032.40841319,37,23439.411260794055
1.5,0,58.96942407843516,62.475763380612015,-0.31927889880937466,-0.4180098008951204,0.6045015516636331,2501229.2857175227,39,15213.917144862171
1.5,1,64.84440365996878,61.218711408815174,-0.25604757608331125,-0.43316495712415237,0.6911866587244372,3444496.005314105,40,13454.10403325311
1.5,2,82.74606347633873,59.097131135856806,-0.42523316854371335,-0.3273730032662338,1.4080040293371758,189593088.11665598,10,13039.079981161054
1.5,3,63.604852254948334,61.57586599795608,-0.3232949345196602,-0.4117099525530119,0.7152198945834866,7860351.744783992,40,15713.976621683056
1.5,4,59.32778933843499,62.43384251085628,-0.27540815441317834,-0.42540544119007007,0.6005290720847235,3273027.4667867837,39,15224.54659028131
1.6,0,42.21497051948018,43.75522441583004,-0.31924715709443613,-0.4173772502308684,0.5587011998610429,2518883.8558897176,41,9637.596962104632
1.6,1,45.77247669205904,43.0495948203233,-0.2570044651192321,-0.43235292026250105,0.6420909237299941,3459654.0202690116,42,9000.904059494535
1.6,2,54.49114217637824,42.0493833670139,-0.4388279051879425,-0.32484790403822406,1.3020624447739035,189591896.93502373,11,8363.649818386602
1.6,3,44.604336114996045,43.30859583731025,-0.322725601667308,-0.41084345690228113,0.6607975211620215,7875513.633235638,42,10163.348730467396
1.6,4,42.3442633775769,43.752460086618875,-0.2766661864998789,-0.424461555729782,0.5546620879595434,3287854.7493197126,41,9728.176321548004
1.7,0,32.60501867137511,33.17997119556316,-0.31876118492207156,-0.41582538020018156,0.5105997857733015,2541965.0613232153,43,6005.2830155126985
1.7,1,34.728169954571996,32.794964050731245,-0.2576755341417619,-0.4304304218038249,0.5893038192482725,3478632.4488878152,44,5868.51212136891
1.7,2,39.19779987371311,32.27611114493574,-0.45003752434206923,-0.32169561994579715,1.187405466792463,189591331.62011257,23,5231.293392234191
1.7,3,33.77107794703031,32.96751068728378,-0.3201039033968536,-0.40911812544315923,0.6024935587898105,7895186.203653525,44,6435.018001701703
1.7,4,32.62101244695265,33.19161657435963,-0.27701445506984074,-0.42275982814016383,0.5062979844960753,3306813.53254306,43,6097.2165900881455
1.8,0,28.508787623041606,28.60456348816804,-0.31787908482556426,-0.4133330472039911,0.4609450423769908,2572933.1405580766,44,3659.5589263474976
1.8,1,29.733003808424556,28.40323893519447,-0.25799260357453935,-0.4274237444924812,0.533481092645858,3502351.5305731227,45,3697.978460730144
1.8,2,32.257377034527394,28.101863784201445,-0.45983364384146574,-0.3179346039067856,1.0657099511208907,189592341.30886075,34,3177.117827005475
1.8,3,29.0043199300543,28.512543059653602,-0.31615431976468317,-0.40655865148588827,0.5410878383755008,7921216.445583407,45,3962.485789925677
1.8,4,28.474743393580233,28.618845624544402,-0.2763193629604806,-0.4202314749065588,0.4563934424323031,3330752.57649116,45,3733.024832551897
1.9,0,33.24875988329285,33.114438132830145,-0.316437464253498,-0.4098711430863796,0.4103144879877421,2617814.8106760834,46,2171.826936666061
1.9,1,33.91907770594488,33.0145530165941,-0.2579536924250116,-0.423452731830835,0.47533454671702635,3533358.506746862,46,2242.665233590685
1.9,2,35.566649393849886,32.821155057706704,-0.4684556674362815,-0.313579524943388,0.9395564402435121,189596974.96634388,35,1869.5982593388114
1.9,3,33.38081758473021,33.08367604191557,-0.31142459484214235,-0.4033775486043293,0.47750639812866685,7958136.000395225,47,2362.6610668734893
1.9,4,33.19905736145032,33.126074179868006,-0.27458692118326605,-0.4168317613577842,0.4057240968350684,3362178.4098255173,46,2224.27508339573
